run,dropped_fold,MAE,DirAcc,VaRBreach
ablation_perm_macro_s45,none,0.033897994086146355,0.5265652173913044,0.09565217391304347
ablation_perm_macro_s45,0,0.03659301375349363,0.4895072463768116,0.11884057971014493
ablation_perm_macro_s45,1,0.034194073329369225,0.5450434782608695,0.08115942028985507
ablation_perm_macro_s45,2,0.033084659526745476,0.5212173913043477,0.07246376811594203
ablation_perm_macro_s45,3,0.03172022973497709,0.5504927536231884,0.11014492753623188
ablation_perm_macro_s46,none,0.033010984770953655,0.5394347826086956,0.1
ablation_perm_macro_s46,0,0.03532646720608076,0.5157101449275362,0.11884057971014493
ablation_perm_macro_s46,1,0.034103814512491226,0.5309565217391304,0.10434782608695652
ablation_perm_macro_s46,2,0.03153118987878164,0.5529275362318841,0.07536231884057971
ablation_perm_macro_s46,3,0.031082467486461002,0.5581449275362318,0.10144927536231885
ablation_perm_sentiment_s42,none,0.03441511560231447,0.5337826086956522,0.11956521739130435
ablation_perm_sentiment_s42,0,0.037074364721775055,0.5052753623188406,0.1565217391304348
ablation_perm_sentiment_s42,1,0.033939833442370095,0.5473623188405797,0.09565217391304348
ablation_perm_sentiment_s42,2,0.03368093321720759,0.5325217391304348,0.09855072463768116
ablation_perm_sentiment_s42,3,0.032965331027905144,0.5499710144927537,0.12753623188405797
ablation_perm_sentiment_s43,none,0.03374037379398942,0.5361739130434783,0.10652173913043479
ablation_perm_sentiment_s43,0,0.036199696362018585,0.5137391304347826,0.13623188405797101
ablation_perm_sentiment_s43,1,0.03414079733192921,0.5464347826086957,0.09855072463768116
ablation_perm_sentiment_s43,2,0.03298426357408365,0.5304927536231885,0.08985507246376812
ablation_perm_sentiment_s43,3,0.03163673790792624,0.5540289855072463,0.10144927536231885
ablation_perm_sentiment_s44,none,0.0334953679703176,0.5487391304347826,0.10217391304347827
ablation_perm_sentiment_s44,0,0.03588663414120674,0.5231304347826087,0.12753623188405797
ablation_perm_sentiment_s44,1,0.0341572022686402,0.5513623188405797,0.10144927536231883
ablation_perm_sentiment_s44,2,0.03247555034856001,0.5508985507246377,0.07826086956521738
ablation_perm_sentiment_s44,3,0.03146208512286345,0.5695652173913043,0.10144927536231885
ablation_perm_sentiment_s45,none,0.03404686972498894,0.5422608695652175,0.10652173913043479
ablation_perm_sentiment_s45,0,0.03672409430146217,0.5165217391304349,0.13623188405797101
ablation_perm_sentiment_s45,1,0.034115295857191086,0.5484057971014493,0.08985507246376812
ablation_perm_sentiment_s45,2,0.033236078917980194,0.5420869565217392,0.0927536231884058
ablation_perm_sentiment_s45,3,0.032112009823322296,0.5620289855072464,0.10724637681159421
ablation_perm_sentiment_s46,none,0.034598353784531355,0.5055217391304349,0.09565217391304348
ablation_perm_sentiment_s46,0,0.03742913405100504,0.46597101449275363,0.1246376811594203
ablation_perm_sentiment_s46,1,0.03620033028225104,0.48533333333333334,0.09565217391304348
ablation_perm_sentiment_s46,2,0.0318260807543993,0.5428985507246377,0.06666666666666667
ablation_perm_sentiment_s46,3,0.03293787005047003,0.5278840579710146,0.09565217391304348
ablation_point_only_s42,none,0.03456332301720977,0.5226086956521738,0.15217391304347827
ablation_point_only_s42,0,0.03650577117999395,0.5148985507246376,0.2028985507246377
ablation_point_only_s42,1,0.03494568231205145,0.526840579710145,0.1710144927536232
ablation_point_only_s42,2,0.03374173678457737,0.5160579710144927,0.12173913043478261
ablation_point_only_s42,3,0.0330601017922163,0.5326376811594202,0.11304347826086958
ablation_point_only_s43,none,0.03449192503467202,0.54,0.17173913043478262
ablation_point_only_s43,0,0.035277742271622024,0.5307826086956522,0.2289855072463768
ablation_point_only_s43,1,0.03585860754052798,0.5328695652173913,0.17391304347826086
ablation_point_only_s43,2,0.033611144249637924,0.5382028985507247,0.15072463768115943
ablation_point_only_s43,3,0.03322020607690016,0.5581449275362319,0.13333333333333333
ablation_point_only_s44,none,0.033652519807219505,0.549304347826087,0.16956521739130434
ablation_point_only_s44,0,0.034920853873093925,0.5432463768115942,0.22608695652173913
ablation_point_only_s44,1,0.03506437813242277,0.5399420289855072,0.1710144927536232
ablation_point_only_s44,2,0.03261192391316096,0.5516521739130434,0.13043478260869565
ablation_point_only_s44,3,0.03201292331020037,0.5623768115942028,0.15072463768115943
ablation_point_only_s45,none,0.0336253815330565,0.5369130434782609,0.2152173913043478
ablation_point_only_s45,0,0.03620239719748497,0.5011014492753624,0.2753623188405797
ablation_point_only_s45,1,0.033630579089125,0.5522318840579711,0.20579710144927535
ablation_point_only_s45,2,0.032719395433863006,0.5353043478260869,0.20579710144927535
ablation_point_only_s45,3,0.03194915441175302,0.5590144927536231,0.17391304347826086
